#pLT is two-dimensional [i,r]=[component, individual]
#[i,*] means all data in row i.

param pLT := 
[1,*]
1  0    2  6    3  7    4  7    5  6    6  4    7  7    8  6    9  7    10 8    
11 8    12 5    13 6    14 4    15 7    16 8    17 7    18 5    19 7    20 7    
21 5    22 5    23 8    24 7    25 6    26 8    27 6    28 5    29 7    30 5    
31 8    32 7    

[2,*]
1  1    2  4    3  4    4  3    5  2    6  4    7  4    8  4    9  4    10 4    
11 3    12 3    13 2    14 4    15 4    16 4    17 3    18 4    19 4    20 3    
21 3    22 4    23 4    24 3    25 4    26 3    27 3    28 4    29 3    30 4    
31 4    32 4    

[3,*]
1  1    2  3    3  3    4  2    5  3    6  3    7  3    8  3    9  3    10 2    
11 2    12 2    13 3    14 3    15 3    16 2    17 3    18 3    19 2    20 2    
21 3    22 3    23 2    24 3    25 3    26 2    27 3    28 2    29 3    30 3    
31 3    32 3    

[4,*]
1  1    2  2    3  1    4  2    5  2    6  2    7  3    8  3    9  2    10 2    
11 1    12 2    13 3    14 3    15 2    16 2    17 2    18 2    19 2    20 3    
21 3    22 2    23 3    24 2    25 2    26 3    27 2    28 3    29 2    30 3    
31 3    32 3    

[5,*]
1  1    2  1    3  1    4  1    5  1    6  2    7  2    8  1    9  1    10 1    
11 2    12 2    13 2    14 1    15 1    16 1    17 1    18 1    19 2    20 2    
21 1    22 2    23 1    24 1    25 2    26 1    27 2    28 1    29 2    30 2    
31 2    32 1    

[6,*]
1  1    2  4    3  4    4  4    5  5    6  5    7  3    8  3    9  2    10 4    
11 5    12 4    13 3    14 4    15 4    16 3    17 3    18 5    19 4    20 4    
21 5    22 4    23 3    24 5    25 3    26 5    27 4    28 5    29 5    30 5    
31 4    32 2    

[7,*]
1  4    2  6    3  6    4  7    5  7    6  5    7  5    8  4    9  6    10 7    
11 6    12 4    13 6    14 6    15 5    16 5    17 7    18 6    19 6    20 7    
21 6    22 5    23 6    24 5    25 7    26 6    27 7    28 6    29 7    30 6    
31 4    32 5    

[8,*]
1  1    2  1    3  2    4  2    5  1    6  1    7  1    8  1    9  2    10 1    
11 1    12 1    13 1    14 1    15 1    16 2    17 2    18 1    19 2    20 1    
21 1    22 2    23 1    24 2    25 1    26 2    27 2    28 2    29 1    30 1    
31 1    32 1    
;
