#pLT is two-dimensional [i,r]=[component, individual]
#[i,*] means all data in row i.

param pLT := 
[1,*]
1  0    2  6    3  8    4  6    5  6    6  9    7  8    8  6    9  6    10 6    
11 7    12 6    13 6    14 7    15 6    16 7    17 6    18 8    19 7    20 7    
21 5    22 7    23 6    24 8    25 6    26 7    27 3    28 6    29 4    30 8    
31 4    32 8    

[2,*]
1  1    2  4    3  3    4  3    5  5    6  4    7  3    8  3    9  3    10 4    
11 3    12 3    13 4    14 4    15 4    16 3    17 5    18 4    19 4    20 3    
21 4    22 3    23 4    24 3    25 4    26 2    27 3    28 2    29 4    30 2    
31 4    32 3    

[3,*]
1  1    2  2    3  2    4  4    5  3    6  2    7  2    8  2    9  3    10 2    
11 2    12 3    13 3    14 3    15 2    16 3    17 3    18 3    19 2    20 3    
21 2    22 3    23 3    24 3    25 1    26 2    27 2    28 3    29 1    30 3    
31 2    32 3    

[4,*]
1  1    2  2    3  3    4  3    5  2    6  2    7  2    8  2    9  2    10 2    
11 3    12 2    13 2    14 2    15 3    16 2    17 3    18 1    19 2    20 2    
21 3    22 2    23 3    24 1    25 2    26 1    27 3    28 1    29 3    30 2    
31 3    32 2    

[5,*]
1  1    2  2    3  2    4  1    5  1    6  1    7  2    8  1    9  1    10 2    
11 1    12 1    13 1    14 2    15 1    16 2    17 1    18 2    19 1    20 2    
21 1    22 2    23 1    24 1    25 1    26 2    27 1    28 2    29 1    30 2    
31 2    32 1    

[6,*]
1  4    2  5    3  4    4  4    5  4    6  4    7  3    8  3    9  5    10 4    
11 4    12 3    13 5    14 4    15 4    16 2    17 4    18 4    19 5    20 4    
21 4    22 2    23 3    24 2    25 5    26 2    27 5    28 4    29 4    30 4    
31 4    32 2    

[7,*]
1  5    2  5    3  5    4  5    5  6    6  5    7  5    8  6    9  6    10 6    
11 5    12 7    13 6    14 6    15 4    16 6    17 5    18 7    19 6    20 6    
21 3    22 5    23 4    24 7    25 3    26 7    27 5    28 6    29 6    30 6    
31 4    32 6    

[8,*]
1  1    2  1    3  1    4  1    5  1    6  1    7  2    8  1    9  1    10 1    
11 2    12 1    13 2    14 1    15 1    16 1    17 2    18 1    19 2    20 1    
21 1    22 1    23 2    24 1    25 2    26 1    27 2    28 1    29 1    30 1    
31 1    32 1    
;
